feature_set,model,target,R2,RMSE
full,Ridge,salary_cap_ratio,0.6376844841836503,0.054686221065148664
full,RF,salary_cap_ratio,0.7441992588578419,0.04594998210793139
full,XGB,salary_cap_ratio,0.731296201677367,0.04709462576685052
full,LGBM,salary_cap_ratio,0.7423286498827084,0.0461176866256817
full,MLP,salary_cap_ratio,0.21075254975548674,0.08071254492750245
full,Ridge,salary_cap_equiv,0.6376844841836513,7688226.447107111
full,RF,salary_cap_equiv,0.7442205884570895,6459746.749117899
full,XGB,salary_cap_equiv,0.7341343313741362,6585880.257698997
full,LGBM,salary_cap_equiv,0.7423286511032141,6483593.311975997
full,MLP,salary_cap_equiv,0.5465436195237601,8601029.924892016
full,Ridge,log_salary_cap_ratio,0.6394568744091533,0.04760459522255151
full,RF,log_salary_cap_ratio,0.7408005409574903,0.040363360099407546
full,XGB,log_salary_cap_ratio,0.7179801393485532,0.04210271612549133
full,LGBM,log_salary_cap_ratio,0.740068575249673,0.04042031192881234
full,MLP,log_salary_cap_ratio,0.10757047338253234,0.07489576005800726
full,Ridge,salary_usd,0.5987023992953461,8091256.7381285485
full,RF,salary_usd,0.6985069599249621,7013282.704301705
full,XGB,salary_usd,0.6842828313792082,7176815.800131371
full,LGBM,salary_usd,0.6934378664714584,7071995.164549775
full,MLP,salary_usd,0.5238203305536235,8813900.119588096
full,Ridge,log_salary,0.5021617654183093,0.8196955068796473
full,RF,log_salary,0.5473617605815344,0.7815991007120237
full,XGB,log_salary,0.5226309237481568,0.8026673020948099
full,LGBM,log_salary,0.5147346749036554,0.8092786075512156
full,MLP,log_salary,0.16553544153356248,1.0612369885792905
