,corr
FP,0.7326206309225967
PTS,0.7284846894909698
FGM,0.7191734014553357
FGA,0.6995274235521366
FTM,0.6695662158409648
log1p_FGM,0.6670514828179329
log1p_PTS,0.6621628371688683
FTA,0.6545794925974591
Min,0.6487400667449836
log1p_FTM,0.6468669793920065
log1p_FGA,0.6447679189767136
TOV,0.6315896741238135
log1p_FTA,0.6250541094223759
log1p_TOV,0.6179010520566143
PTS_per_min,0.5947695040982034
log1p_Min,0.5933604706453645
AST,0.5927363619407415
log1p_PTS_per_min,0.5792599594105012
log1p_AST,0.5773585688031689
FGM_per_min,0.5572688146664302
DREB,0.5350616562106563
FTM_per_gp,0.5292419581295932
FTM_per_min,0.5280688412696694
FGA_per_min,0.5218586724282901
log1p_DREB,0.5210077687460656
PTS_per_gp,0.5192325848105885
FTA_per_gp,0.5051711627739691
FGM_per_gp,0.49790253654049454
FTA_per_min,0.47773290039668304
FGA_per_gp,0.46341305178517816
log1p_STL,0.46220948155589364
DD2,0.46110177523039003
STL,0.45942226660435903
3PM,0.4589412713567125
3PA,0.4583315984148345
REB,0.4562871526127089
log1p_REB,0.45354353749149184
AST_per_gp,0.43662884402215885
log1p_3PM,0.40686965636353606
TOV_per_gp,0.3992482760775853
AST_per_min,0.3875443631974113
log1p_AST_per_min,0.38695427592419357
TOV_per_min,0.3696915627638073
log1p_3PA,0.3695260550007946
log1p_TOV_per_min,0.36887916148830335
PF,0.34788326763017163
log1p_PF,0.3457038906235124
3PM_per_gp,0.3441243762096803
+/-,0.3392657687442295
Age,0.3358701004808939
DREB_per_gp,0.32929344903539925
3PA_per_gp,0.32007138831444215
TD3,0.2918288706231357
REB_per_gp,0.25839197372446404
DREB_share,0.24886130797715378
log1p_BLK,0.24844593137110346
W,0.24408634536433071
BLK,0.2323090230030874
FT%,0.22796044970951326
STL_per_gp,0.2205806398961972
TS%_calc,0.1973096840323748
3PM_per_min,0.19383239101329933
GP,0.1736240267400499
log1p_OREB,0.17176529933764764
3PA_per_min,0.16506018871198086
OREB,0.16472653719179664
BLK_per_gp,0.12766497081955294
DREB_per_min,0.12665799000746888
3P%,0.09823603203920517
FG%,0.09644049655624472
eFG%_calc,0.0937683927898895
OREB_per_min,-0.1268016631842339
OREB_share,-0.2481606231920026
PF_per_min,-0.3074167787237016
